ContactID,ClientID,StaffID,ContactDate,ContactType,ContactOutcome,ContactDurationMinutes,FollowUpDate,ContactNotesCategory
50059,3005,2007,2025-10-22,Phone,Successful,30,2025-11-21,Documentation
50060,3005,2007,2025-11-07,In Person,Successful,30,2025-11-28,Documentation
50061,3005,2007,2025-12-06,In Person,Successful,30,2025-12-09,Follow-Up
50062,3005,2007,2026-02-25,Text Message,Successful,20,2026-03-04,Service Planning
50063,3005,2007,2026-03-03,Email,Successful,10,2026-03-10,Follow-Up
50064,3005,2007,2026-04-10,Text Message,Successful,45,2026-05-10,Program Update
50065,3005,2007,2026-04-20,Email,No Answer,,2026-04-27,Referral
50066,3005,2007,2026-05-13,Phone,Rescheduled,20,2026-05-20,Service Planning
50067,3005,2007,2026-05-18,Outreach Attempt,Rescheduled,90,2026-05-25,Crisis Support
50068,3005,2007,2026-06-01,In Person,Rescheduled,20,2026-06-22,Follow-Up
50069,3005,2007,2026-06-02,Text Message,Successful,45,2026-06-23,Service Planning
50070,3005,2007,2026-06-30,In Person,Successful,10,2026-07-07,Documentation
50071,3006,2018,2023-12-22,Text Message,Successful,30,2023-12-29,Service Planning
50072,3006,2018,2024-02-04,In Person,Successful,15,2024-02-11,Crisis Support
50073,3006,2018,2024-03-06,Text Message,Successful,10,2024-03-27,General Check-In
50074,3006,2018,2024-03-17,Text Message,Client Declined,,,Documentation
50075,3006,2018,2024-04-28,Phone,Successful,15,2024-05-28,General Check-In
50076,3006,2018,2024-06-26,Text Message,No Answer,,2024-07-26,Service Planning
50077,3006,2018,2024-07-09,Phone,Client Declined,,,Program Update
50078,3006,2018,2024-11-12,Video,Successful,30,2024-12-12,General Check-In
50079,3006,2018,2025-02-20,In Person,Client Declined,,,Documentation
50080,3006,2018,2025-05-26,Email,Voicemail,,2025-06-09,Follow-Up
50081,3006,2018,2025-08-22,Outreach Attempt,No Answer,,2025-08-25,Documentation
50082,3006,2018,2025-10-31,Email,Rescheduled,20,2025-11-14,General Check-In
50083,3006,2018,2026-01-08,Text Message,Successful,10,2026-01-22,Crisis Support
50084,3006,2018,2026-05-19,Email,Voicemail,,2026-06-18,Follow-Up
50085,3006,2018,2026-05-30,Phone,Voicemail,,2026-06-13,Service Planning
50086,3006,2018,2026-07-04,Phone,Rescheduled,60,2026-07-11,General Check-In
50087,3007,2018,2024-12-26,In Person,Successful,30,2025-01-02,Referral
50088,3007,2018,2025-02-14,Phone,No Answer,,2025-02-21,Referral
50089,3007,2018,2025-05-12,Text Message,Voicemail,,2025-05-19,General Check-In
50090,3007,2018,2025-08-12,In Person,No Answer,,2025-08-15,General Check-In
50091,3007,2018,2025-12-30,In Person,No Answer,,2026-01-20,General Check-In
50092,3007,2018,2026-02-12,Email,Successful,10,2026-02-19,Referral
50093,3007,2018,2026-02-19,Email,Successful,15,2026-03-21,Documentation
50094,3007,2018,2026-05-27,In Person,Rescheduled,20,2026-06-03,Service Planning
50095,3007,2018,2026-06-21,Outreach Attempt,Rescheduled,30,,General Check-In
50096,3008,2002,2025-09-10,Phone,Successful,60,2025-09-24,Referral
50097,3008,2002,2025-09-17,Phone,Voicemail,,2025-09-24,Program Update
50098,3008,2002,2025-09-20,Text Message,Successful,20,2025-09-27,Crisis Support
50099,3008,2002,2025-09-24,Text Message,Client Declined,,,General Check-In
50100,3008,2002,2025-09-30,Phone,Successful,10,2025-10-14,Program Update
50101,3008,2002,2025-10-06,Text Message,Successful,60,2025-10-27,Service Planning
50102,3008,2002,2025-10-15,Email,Successful,15,2025-10-22,Program Update
50103,3008,2002,2025-10-21,Email,Voicemail,,2025-11-20,Program Update
50104,3009,2018,2024-07-08,Outreach Attempt,Unable to Locate,,,Documentation
50105,3009,2018,2025-04-12,In Person,Unable to Locate,,,Follow-Up
50106,3009,2018,2025-09-09,Email,No Answer,,2025-09-12,Service Planning
50107,3009,2018,2026-02-09,Email,Successful,15,2026-02-23,Referral
50108,3009,2018,2026-02-09,In Person,Rescheduled,90,2026-03-02,Referral
50109,3009,2018,2026-03-23,Phone,Successful,15,2026-04-06,Crisis Support
50110,3010,2005,2024-11-01,Outreach Attempt,Unable to Locate,,,Follow-Up
50111,3010,2005,2024-11-03,Phone,Successful,10,2024-11-10,Service Planning
50112,3010,2005,2025-01-27,Outreach Attempt,Unable to Locate,,,Crisis Support
50113,3010,2005,2025-02-17,Phone,Successful,45,2025-02-20,Referral
50114,3010,2005,2025-05-09,Text Message,No Answer,,2025-06-08,General Check-In
50115,3010,2005,2025-06-08,Phone,Successful,60,2025-07-08,Follow-Up
50116,3010,2005,2025-09-06,In Person,Voicemail,,2025-09-09,Follow-Up
50117,3010,2005,2025-09-22,Phone,Successful,15,2025-09-29,Program Update
50118,3010,2005,2026-06-10,Outreach Attempt,No Answer,,2026-06-17,Documentation
50119,3011,2002,2025-01-14,Email,Voicemail,,2025-02-04,Program Update
50120,3011,2002,2025-01-17,Phone,Successful,60,2025-01-31,Documentation
50121,3011,2002,2025-01-19,Text Message,Successful,60,2025-02-18,Service Planning
50122,3011,2002,2025-01-20,Text Message,Successful,90,2025-01-27,Program Update
50123,3011,2002,2025-01-22,Text Message,Successful,20,2025-01-29,General Check-In
50124,3011,2002,2025-01-26,Outreach Attempt,Successful,60,2025-02-02,Program Update
50125,3011,2002,2025-01-30,Phone,Successful,15,2025-02-20,General Check-In
50126,3011,2002,2025-02-02,In Person,Successful,30,2025-02-23,Referral
50127,3011,2002,2025-02-04,Phone,Successful,90,2025-02-11,Crisis Support
50128,3011,2002,2025-02-06,Email,No Answer,,2025-03-08,Program Update
50129,3011,2002,2025-02-27,In Person,Successful,60,2025-03-20,Service Planning
50130,3011,2002,2025-03-05,Text Message,Successful,10,2025-03-12,Referral
50131,3011,2002,2025-03-05,In Person,Successful,60,2025-03-19,Documentation
50132,3011,2002,2025-03-06,Outreach Attempt,Unable to Locate,,,Program Update
50133,3011,2002,2025-03-11,Video,Successful,10,2025-04-10,Follow-Up
50134,3011,2002,2025-03-21,Phone,Voicemail,,2025-04-04,General Check-In
50135,3011,2002,2025-03-21,In Person,Voicemail,,2025-04-11,Service Planning
50136,3012,2018,2024-05-23,Text Message,Rescheduled,15,2024-06-13,Documentation
50137,3012,2018,2024-05-25,Video,Successful,20,2024-06-01,Crisis Support
50138,3012,2018,2024-06-28,In Person,Successful,45,2024-07-12,General Check-In
50139,3012,2018,2024-07-16,Email,Client Declined,,,Crisis Support
50140,3012,2018,2024-08-25,In Person,Successful,45,2024-09-24,Service Planning
50141,3012,2018,2024-09-03,In Person,Rescheduled,20,2024-10-03,Program Update
50142,3012,2018,2024-09-22,Text Message,Successful,20,2024-09-29,Referral
50143,3012,2018,2025-05-01,Phone,Client Declined,,,Documentation
50144,3012,2018,2025-07-02,Text Message,No Answer,,2025-08-01,Service Planning
50145,3012,2018,2025-12-24,Email,Successful,90,2025-12-27,Crisis Support
50146,3012,2018,2026-05-19,Email,No Answer,,2026-06-18,Documentation
50147,3013,2006,2025-11-21,Outreach Attempt,Unable to Locate,,,Program Update
50148,3013,2006,2025-11-27,Outreach Attempt,No Answer,,2025-12-27,Follow-Up
50149,3013,2006,2025-12-20,In Person,Successful,30,2026-01-03,Referral
50150,3013,2006,2026-03-13,Outreach Attempt,No Answer,,2026-04-12,Program Update
50151,3013,2006,2026-03-22,Email,Unable to Locate,,,General Check-In
50152,3013,2006,2026-03-25,Outreach Attempt,Unable to Locate,,,General Check-In
50153,3013,2006,2026-04-29,Phone,Rescheduled,20,2026-05-29,General Check-In
50154,3013,2006,2026-05-15,Outreach Attempt,Client Declined,,,Referral
50155,3013,2006,2026-05-16,Outreach Attempt,No Answer,,2026-05-23,Referral
50156,3013,2006,2026-06-03,Outreach Attempt,Unable to Locate,,,General Check-In
50157,3014,2006,2024-07-04,Email,Successful,60,2024-08-03,Service Planning
50158,3014,2006,2024-09-01,In Person,Rescheduled,20,2024-10-01,Service Planning
50159,3014,2006,2024-09-26,In Person,Successful,20,2024-09-29,Crisis Support
50160,3014,2006,2024-10-19,Phone,Successful,15,2024-10-26,Documentation
50161,3014,2006,2024-11-11,Video,Successful,15,2024-11-18,Service Planning
50162,3014,2006,2025-02-21,Phone,Successful,90,2025-02-28,Program Update
50163,3014,2006,2025-04-27,Phone,Rescheduled,10,2025-05-11,General Check-In
50164,3014,2006,2025-05-30,Outreach Attempt,Successful,90,2025-06-29,Program Update
50165,3014,2006,2025-06-08,Outreach Attempt,Voicemail,,2025-07-08,Follow-Up
50166,3014,2006,2025-06-12,Phone,Successful,15,2025-06-15,Follow-Up
50167,3014,2006,2025-07-04,Phone,No Answer,,2025-07-11,Crisis Support
50168,3014,2006,2025-08-01,Phone,Successful,10,2025-08-22,General Check-In
50169,3014,2006,2025-10-01,Video,Successful,10,2025-10-15,Referral
50170,3014,2006,2026-01-11,Email,Successful,60,2026-02-01,Service Planning
50171,3014,2006,2026-02-05,Video,Voicemail,,2026-02-08,Follow-Up
50172,3014,2006,2026-02-18,Email,Successful,60,2026-02-25,Service Planning
50173,3014,2006,2026-02-28,Outreach Attempt,No Answer,,2026-03-21,Referral
50174,3014,2006,2026-05-16,Text Message,Rescheduled,60,2026-05-30,Documentation
50175,3014,2006,2026-06-08,Outreach Attempt,No Answer,,2026-07-08,Follow-Up
50176,3014,2006,2026-06-12,Outreach Attempt,Unable to Locate,,,General Check-In
50177,3015,2018,2026-03-05,In Person,Successful,30,2026-03-19,Crisis Support
50178,3015,2018,2026-03-24,Text Message,No Answer,,2026-03-31,Referral
50179,3015,2018,2026-04-14,Phone,Successful,90,2026-04-17,Referral
50180,3015,2018,2026-04-19,In Person,Unable to Locate,,,Follow-Up
50181,3015,2018,2026-05-19,Phone,Voicemail,,2026-05-26,Follow-Up
50182,3015,2018,2026-05-22,In Person,Voicemail,,2026-05-25,Program Update
50183,3015,2018,2026-05-29,Email,Successful,10,2026-06-05,Service Planning
50184,3015,2018,2026-06-13,Phone,Successful,45,2026-06-27,General Check-In
50185,3015,2018,2026-06-18,Phone,Successful,30,2026-06-21,Documentation
50186,3016,2013,2025-02-22,Phone,Successful,10,2025-02-25,Crisis Support
50187,3016,2013,2025-03-16,Phone,Rescheduled,60,2025-03-19,Referral
50188,3016,2013,2025-04-24,Phone,Unable to Locate,,,Follow-Up
50189,3016,2013,2025-06-29,Video,Successful,60,2025-07-20,Service Planning
50190,3016,2013,2025-08-31,Text Message,No Answer,,2025-09-07,Referral
50191,3016,2013,2025-09-14,In Person,Successful,10,2025-10-05,Program Update
50192,3016,2013,2025-10-08,Text Message,Successful,15,2025-11-07,Crisis Support
50193,3016,2013,2025-10-16,Text Message,Successful,60,2025-11-15,Follow-Up
50194,3016,2013,2025-11-03,Phone,Successful,30,2025-11-06,Crisis Support
50195,3016,2013,2025-11-19,Phone,Voicemail,,2025-12-19,Follow-Up
50196,3016,2013,2025-11-25,Phone,Client Declined,,,Follow-Up
50197,3016,2013,2026-01-26,Outreach Attempt,Voicemail,,2026-02-09,General Check-In
50198,3016,2013,2026-02-21,Video,Successful,60,2026-03-14,General Check-In
50199,3016,2013,2026-02-25,In Person,Successful,60,2026-03-11,Service Planning
50200,3016,2013,2026-03-07,Phone,Successful,15,2026-03-21,Crisis Support
50201,3016,2013,2026-03-24,Phone,Rescheduled,45,2026-04-14,General Check-In
50202,3016,2013,2026-03-27,Email,Successful,90,2026-04-10,Documentation
50203,3016,2013,2026-04-22,Text Message,Successful,20,2026-05-06,Documentation
50204,3016,2013,2026-06-29,Outreach Attempt,Client Declined,,,Service Planning
50205,3016,2013,2026-07-10,In Person,Unable to Locate,,,General Check-In
50206,3017,2007,2025-02-14,Phone,No Answer,,2025-02-21,General Check-In
50207,3017,2007,2025-03-08,Phone,Successful,30,2025-03-22,Documentation
50208,3017,2007,2025-10-06,In Person,No Answer,,2025-11-05,General Check-In
50209,3017,2007,2025-11-01,Text Message,Successful,10,2025-11-08,Documentation
50210,3017,2007,2025-11-28,Video,Successful,45,2025-12-19,Crisis Support
50211,3017,2007,2026-04-30,In Person,No Answer,,2026-05-03,Crisis Support
50212,3017,2007,2026-06-03,Text Message,Successful,30,2026-06-17,Documentation
50213,3017,2007,2026-07-11,Video,Successful,90,,Referral
50214,3018,2005,2024-09-08,Phone,Voicemail,,2024-10-08,General Check-In
50215,3018,2005,2024-09-19,Phone,Successful,30,2024-10-10,Documentation
50216,3018,2005,2024-10-06,Phone,Successful,10,2024-10-20,Program Update
50217,3018,2005,2024-11-11,Outreach Attempt,No Answer,,2024-12-02,Program Update
50218,3018,2005,2024-11-17,Outreach Attempt,No Answer,,2024-12-17,Follow-Up
50219,3018,2005,2024-12-11,Email,Voicemail,,2024-12-14,Crisis Support
50220,3018,2005,2025-01-12,Email,Successful,30,2025-02-02,Program Update
50221,3018,2005,2025-01-27,Phone,Successful,45,2025-02-10,Referral
50222,3019,2015,2023-10-19,In Person,Successful,10,2023-11-18,Service Planning
50223,3019,2015,2023-10-20,Outreach Attempt,Successful,10,2023-11-19,General Check-In
50224,3019,2015,2023-11-14,Email,Voicemail,,2023-11-17,Follow-Up
50225,3019,2015,2024-01-09,Video,No Answer,,2024-01-16,Program Update
50226,3019,2015,2024-03-12,Phone,Successful,60,2024-03-15,Program Update
50227,3019,2015,2024-04-03,Phone,No Answer,,2024-05-03,Crisis Support
50228,3019,2015,2024-04-04,Outreach Attempt,Successful,30,2024-04-18,Program Update
50229,3019,2015,2024-04-12,Phone,Rescheduled,15,2024-04-15,Follow-Up
50230,3020,2007,2024-01-07,Video,Successful,45,2024-01-21,Referral
50231,3020,2007,2024-02-17,Email,Successful,90,2024-02-20,Program Update
50232,3020,2007,2024-03-21,Email,Successful,45,2024-03-24,Referral
50233,3020,2007,2024-05-16,Text Message,Successful,45,2024-05-30,Documentation
50234,3020,2007,2024-07-09,Phone,No Answer,,2024-08-08,Referral
50235,3020,2007,2024-07-29,In Person,Successful,15,2024-08-05,General Check-In
50236,3020,2007,2024-09-23,In Person,Successful,60,2024-10-07,General Check-In
50237,3020,2007,2024-10-24,Text Message,Voicemail,,2024-11-14,General Check-In
50238,3020,2007,2024-12-19,Phone,Client Declined,,,General Check-In
50239,3020,2007,2024-12-31,Email,Successful,45,2025-01-14,Follow-Up
50240,3020,2007,2025-01-01,Email,Successful,60,2025-01-04,Documentation
50241,3020,2007,2025-02-10,In Person,Successful,90,2025-02-17,Service Planning
50242,3020,2007,2025-02-14,Email,Successful,60,2025-02-28,Referral
50243,3020,2007,2025-04-05,Phone,Rescheduled,20,2025-04-12,Crisis Support
50244,3020,2007,2025-05-11,In Person,Rescheduled,20,2025-06-01,Crisis Support
50245,3020,2007,2025-07-31,Email,No Answer,,2025-08-30,Service Planning
50246,3020,2007,2025-11-21,Email,Client Declined,,,Referral
50247,3020,2007,2026-06-14,Email,Voicemail,,2026-06-17,General Check-In
50248,3020,2007,2026-06-16,Outreach Attempt,Voicemail,,2026-06-30,Follow-Up
50249,3021,2002,2024-07-06,Phone,Successful,20,2024-07-09,Referral
50250,3021,2002,2024-07-16,Text Message,Unable to Locate,,,Referral
50251,3021,2002,2024-08-13,Phone,Successful,20,2024-09-03,Documentation
50252,3021,2002,2024-09-01,Outreach Attempt,No Answer,,2024-09-22,General Check-In
50253,3021,2002,2024-09-01,Email,Successful,90,2024-09-04,Referral
50254,3021,2002,2024-10-03,Phone,Successful,90,2024-10-10,Service Planning
50255,3021,2002,2024-12-12,In Person,Voicemail,,2025-01-11,Crisis Support
50256,3021,2002,2025-02-12,Email,Rescheduled,30,2025-02-19,Referral
50257,3021,2002,2025-02-22,Phone,No Answer,,2025-03-24,Service Planning
50258,3021,2002,2025-04-14,Text Message,Client Declined,,,Documentation
50259,3021,2002,2025-05-20,Phone,Successful,20,2025-05-27,Service Planning
50260,3021,2002,2025-09-24,Phone,Successful,15,2025-10-15,Documentation
50261,3021,2002,2025-11-01,Phone,Voicemail,,2025-11-04,Service Planning
50262,3021,2002,2026-01-16,Video,Successful,30,2026-01-30,Follow-Up
50263,3021,2002,2026-02-05,In Person,Successful,15,2026-02-08,Follow-Up
50264,3021,2002,2026-02-05,Text Message,Successful,90,2026-03-07,Follow-Up
50265,3021,2002,2026-03-26,Phone,No Answer,,2026-04-09,Documentation
50266,3021,2002,2026-07-01,Email,Unable to Locate,,,Documentation
50267,3022,2014,2025-04-14,Phone,Successful,30,2025-05-14,Documentation
50268,3022,2014,2025-04-29,Outreach Attempt,Unable to Locate,,,Follow-Up
50269,3022,2014,2025-05-12,Text Message,Successful,45,2025-05-15,Service Planning
50270,3022,2014,2025-05-14,Phone,No Answer,,2025-05-21,General Check-In
50271,3022,2014,2025-05-20,Phone,Successful,15,2025-06-10,Follow-Up
50272,3022,2014,2025-07-10,Text Message,Successful,30,2025-07-24,Crisis Support
50273,3022,2014,2025-09-10,Phone,No Answer,,2025-10-10,Documentation
50274,3022,2014,2025-10-11,Text Message,Successful,30,2025-10-18,Crisis Support
50275,3022,2014,2025-10-14,Phone,Successful,15,2025-10-21,Service Planning
50276,3022,2014,2025-10-22,Phone,Successful,60,2025-10-29,Crisis Support
50277,3022,2014,2025-10-26,Text Message,Unable to Locate,,,Service Planning
50278,3023,2012,2023-10-07,Email,Successful,10,2023-10-28,Documentation
50279,3023,2012,2023-12-06,Phone,Successful,15,2024-01-05,General Check-In
50280,3023,2012,2023-12-23,Outreach Attempt,Rescheduled,60,2024-01-06,Referral
50281,3023,2012,2024-03-20,Outreach Attempt,No Answer,,2024-04-19,Follow-Up
50282,3023,2012,2024-05-26,Phone,Voicemail,,2024-05-29,Documentation
50283,3023,2012,2024-06-29,Outreach Attempt,Rescheduled,10,2024-07-20,Documentation
50284,3023,2012,2025-05-10,In Person,No Answer,,2025-05-24,Program Update
50285,3023,2012,2025-06-03,Outreach Attempt,Rescheduled,30,2025-06-06,Follow-Up
50286,3023,2012,2025-08-18,Phone,Successful,60,2025-09-08,Referral
50287,3023,2012,2025-09-02,Phone,Unable to Locate,,,Crisis Support
50288,3023,2012,2025-09-11,Outreach Attempt,Unable to Locate,,,Crisis Support
50289,3023,2012,2025-12-29,Email,Successful,45,2026-01-12,Program Update
50290,3023,2012,2026-01-26,Email,Voicemail,,2026-01-29,General Check-In
50291,3023,2012,2026-02-02,In Person,Voicemail,,2026-02-09,General Check-In
50292,3023,2012,2026-04-05,In Person,Successful,60,2026-04-26,Program Update
50293,3023,2012,2026-06-20,Text Message,Client Declined,,,General Check-In
50294,3024,2005,2025-05-15,Video,Voicemail,,2025-06-05,Follow-Up
50295,3024,2005,2026-01-23,Email,Rescheduled,90,2026-02-06,Referral
50296,3024,2005,2026-02-13,In Person,Successful,30,2026-03-15,Program Update
50297,3024,2005,2026-03-05,Email,Rescheduled,10,2026-04-04,Program Update
50298,3024,2005,2026-05-11,Email,Successful,15,2026-06-01,Program Update
50299,3024,2005,2026-05-19,In Person,Successful,60,2026-05-22,Documentation
50300,3024,2005,2026-05-28,Phone,Successful,60,2026-06-18,Documentation
50301,3025,2007,2024-10-25,Text Message,No Answer,,2024-11-15,Program Update
50302,3025,2007,2024-11-13,In Person,Successful,45,2024-11-20,General Check-In
50303,3025,2007,2024-12-08,In Person,Successful,15,2025-01-07,Service Planning
50304,3025,2007,2025-05-27,Email,Successful,90,2025-06-26,Follow-Up
50305,3025,2007,2025-09-23,Phone,No Answer,,2025-09-26,Follow-Up
50306,3025,2007,2026-01-10,Email,Successful,90,2026-01-17,Referral
50307,3025,2007,2026-06-08,In Person,Successful,90,2026-06-22,Documentation
50308,3026,2018,2024-08-10,Email,Successful,60,2024-09-09,Program Update
50309,3026,2018,2024-11-01,Email,Successful,15,2024-11-04,General Check-In
50310,3026,2018,2025-02-21,Phone,Rescheduled,20,2025-02-24,Follow-Up
50311,3026,2018,2025-03-09,In Person,Successful,90,2025-03-30,General Check-In
50312,3026,2018,2025-03-22,In Person,No Answer,,2025-03-29,General Check-In
50313,3026,2018,2025-05-01,Video,Successful,60,2025-05-04,Follow-Up
50314,3026,2018,2025-08-28,Outreach Attempt,Successful,10,2025-08-31,Follow-Up
50315,3026,2018,2025-09-07,Phone,Successful,15,2025-09-14,Service Planning
50316,3026,2018,2026-03-04,Text Message,Successful,45,2026-03-25,Service Planning
50317,3027,2018,2024-02-11,Email,Client Declined,,,Program Update
50318,3027,2018,2024-02-12,In Person,Successful,10,2024-03-04,General Check-In
50319,3027,2018,2024-05-10,Text Message,Unable to Locate,,,Program Update
50320,3027,2018,2024-05-30,Phone,Voicemail,,2024-06-29,Service Planning
50321,3027,2018,2024-07-28,In Person,No Answer,,2024-08-11,Referral
50322,3027,2018,2024-08-22,Outreach Attempt,Unable to Locate,,,Referral
50323,3027,2018,2024-09-02,Phone,Successful,90,2024-10-02,Crisis Support
50324,3027,2018,2024-11-03,Outreach Attempt,Successful,15,2024-11-06,General Check-In
50325,3027,2018,2024-11-13,Video,Voicemail,,2024-12-13,Crisis Support
50326,3027,2018,2024-12-30,Outreach Attempt,Voicemail,,2025-01-29,General Check-In
50327,3027,2018,2025-02-17,Email,Voicemail,,2025-03-19,Follow-Up
50328,3027,2018,2025-03-07,Video,Successful,90,2025-03-10,Crisis Support
50329,3027,2018,2025-04-11,Phone,Successful,15,2025-05-02,Referral
50330,3027,2018,2025-07-01,Phone,Successful,15,2025-07-15,Crisis Support
50331,3027,2018,2025-11-17,Video,Successful,30,2025-12-17,Service Planning
50332,3027,2018,2026-01-12,In Person,Successful,60,2026-01-26,Referral
50333,3027,2018,2026-01-15,Outreach Attempt,Voicemail,,2026-02-14,Documentation
50334,3027,2018,2026-02-02,Phone,Successful,20,2026-02-05,General Check-In
50335,3027,2018,2026-03-09,In Person,Successful,10,2026-03-30,Referral
50336,3028,2018,2024-08-10,In Person,Successful,15,2024-08-31,Follow-Up
50337,3028,2018,2024-08-19,In Person,Successful,30,2024-09-18,General Check-In
50338,3028,2018,2024-08-23,Text Message,Successful,10,2024-09-13,Program Update
50339,3028,2018,2024-09-02,Outreach Attempt,Successful,10,2024-09-16,Referral
50340,3028,2018,2024-09-19,Outreach Attempt,No Answer,,2024-10-19,Program Update
50341,3028,2018,2024-11-25,In Person,Successful,90,2024-12-25,General Check-In
50342,3028,2018,2025-01-29,Email,No Answer,,2025-02-28,Program Update
50343,3028,2018,2025-02-20,Text Message,No Answer,,2025-02-27,General Check-In
50344,3028,2018,2025-04-20,Phone,Successful,15,2025-05-04,General Check-In
50345,3028,2018,2025-09-06,Email,No Answer,,2025-09-13,Referral
50346,3028,2018,2025-10-29,Email,Successful,45,2025-11-28,Follow-Up
50347,3028,2018,2025-11-01,In Person,No Answer,,2025-11-22,Follow-Up
50348,3028,2018,2025-11-18,Phone,Successful,45,2025-12-02,Referral
50349,3028,2018,2025-12-14,Phone,Rescheduled,30,2025-12-17,Documentation
50350,3028,2018,2026-01-23,Email,Client Declined,,,Referral
50351,3029,2006,2026-01-17,Text Message,Successful,45,2026-02-07,Program Update
50352,3029,2006,2026-01-23,Phone,Voicemail,,2026-02-06,Follow-Up
50353,3029,2006,2026-01-25,Phone,Successful,45,2026-01-28,General Check-In
50354,3029,2006,2026-01-29,In Person,Successful,90,2026-02-12,Documentation
